,canonical_smiles
0,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21
1,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21
2,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21
3,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21
4,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-]
5,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21
6,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21
7,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21
8,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21
9,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21
10,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1
11,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21
12,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1
13,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C
14,CCCCN1C(=O)C(=O)c2cc(I)ccc21
15,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1
16,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1
17,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21
18,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21
19,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21
20,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21
21,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21
22,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1
23,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1
24,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1
25,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1
26,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N
27,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N
28,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1
29,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1
30,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1
31,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1
32,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1
33,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1
34,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC
35,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC
36,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1
37,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1
38,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1
39,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1
40,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1
41,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1
42,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1
43,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1
44,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C
45,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C
46,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1
47,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1
48,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1
49,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1
50,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1
51,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1
52,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1
53,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1
54,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1
55,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1
56,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1
57,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1
58,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1
59,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1
60,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1
61,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1
62,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1
63,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1
64,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1
65,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1
66,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1
67,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1
68,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1
69,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1
70,O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1
71,O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1
72,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1
73,Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1
74,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1
75,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccc(Cl)cc2)n1
76,Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F
77,Cn1nc(-c2ccc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)s2)cc1C(F)(F)F
78,O=C(Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(Cl)=C(Cl)Cl)cc2)cc1)C(Cl)=C(Cl)Cl
79,Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1
80,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1
81,Cc1nc(S(=O)(=O)c2ccccc2)c(C#N)c(C)c1[N+](=O)[O-]
82,Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1
83,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1
84,CCOC(=O)/C(C#N)=C/Nc1ccc(S(=O)(=O)c2ccc(/N=C/C(C#N)=C(\O)OCC)cc2)cc1
85,O=C(O)c1ccc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1
86,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O
87,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
88,CCOC(=O)C(=CNc1ccc(S(=O)(=O)c2ccc(/N=C/C(C(=O)OCC)=C(\O)OCC)cc2)cc1)C(=O)OCC
89,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1
90,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-]
91,Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1
92,CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1
93,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1
94,CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N
95,O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-]
96,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-]
97,O=C(Cc1nccs1)c1nccs1
98,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl
99,O=C(Oc1cncc(Cl)c1)c1ccco1
100,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1
101,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1
102,O=C(Oc1cncc(Cl)c1)c1cscn1
103,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1
104,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1
105,O=C(Oc1cncc(Br)c1)c1ccco1
106,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1
107,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
108,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO
109,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1
110,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
111,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12
112,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1
113,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C
114,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
115,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO
116,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1
117,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
118,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12
119,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1
120,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C
121,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO
122,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
123,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12
124,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1
125,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C
126,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
127,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO
128,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1
129,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
130,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12
131,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1
132,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C
